    -1 :       Date     Time   Level Gridsize    Miss :     Minimum        Mean     Maximum : Parameter name
    76 : 1993-02-15 00:00:00       0        1       0 :                  8.0000             : stn           
    77 : 1993-03-16 00:00:00       0        1       0 :                  18.600             : pre           
    78 : 1993-03-16 00:00:00       0        1       0 :                  8.0000             : stn           
    79 : 1993-04-16 00:00:00       0        1       0 :                  7.0000             : pre           
    80 : 1993-04-16 00:00:00       0        1       0 :                  8.0000             : stn           
    81 : 1993-05-16 00:00:00       0        1       0 :                 0.40000             : pre           
    82 : 1993-05-16 00:00:00       0        1       0 :                  8.0000             : stn           
    83 : 1993-06-16 00:00:00       0        1       0 :                 0.20000             : pre           
    84 : 1993-06-16 00:00:00       0        1       0 :                  8.0000             : stn           
    85 : 1993-07-16 00:00:00       0        1       0 :                 0.20000             : pre           
    86 : 1993-07-16 00:00:00       0        1       0 :                  8.0000             : stn           
    87 : 1993-08-16 00:00:00       0        1       0 :                  1.5000             : pre           
    88 : 1993-08-16 00:00:00       0        1       0 :                  8.0000             : stn           
    89 : 1993-09-16 00:00:00       0        1       0 :                  9.4000             : pre           
    90 : 1993-09-16 00:00:00       0        1       0 :                  8.0000             : stn           
    91 : 1993-10-16 00:00:00       0        1       0 :                  18.700             : pre           
    92 : 1993-10-16 00:00:00       0        1       0 :                  8.0000             : stn           
    93 : 1993-11-16 00:00:00       0        1       0 :                  91.100             : pre           
    94 : 1993-11-16 00:00:00       0        1       0 :                  8.0000             : stn           
    95 : 1993-12-16 00:00:00       0        1       0 :                  72.200             : pre           
    96 : 1993-12-16 00:00:00       0        1       0 :                  8.0000             : stn           
    97 : 1994-01-16 00:00:00       0        1       0 :                  53.300             : pre           
    98 : 1994-01-16 00:00:00       0        1       0 :                  8.0000             : stn           
    99 : 1994-02-15 00:00:00       0        1       0 :                  24.900             : pre           
   100 : 1994-02-15 00:00:00       0        1       0 :                  8.0000             : stn           
   101 : 1994-03-16 00:00:00       0        1       0 :                  13.000             : pre           
   102 : 1994-03-16 00:00:00       0        1       0 :                  8.0000             : stn           
   103 : 1994-04-16 00:00:00       0        1       0 :                  1.2000             : pre           
   104 : 1994-04-16 00:00:00       0        1       0 :                  8.0000             : stn           
   105 : 1994-05-16 00:00:00       0        1       0 :                  0.0000             : pre           
